Tipo de símbolo      Símbolo              Número de símbolo    Línea                Columna              
-------------------------------------------------------------------------------------------
RECORRIDO            function             51                   2                    0                    
NICOLAS              float                3                    2                    9                    
PERSONA              func1                53                   2                    15                   
ABRECUENTO           (                    7                    2                    20                   
COLACHO              char                 5                    2                    21                   
PERSONA              x22                  53                   2                    26                   
CHIMENEA             ,                    13                   2                    29                   
COLACHO              char                 5                    2                    30                   
PERSONA              x22                  53                   2                    35                   
CIERRACUENTO         )                    8                    2                    38                   
ABREREGALO           {                    11                   2                    39                   
LOCALCOLOCARREGALO   local                52                   3                    1                    
COLACHO              char                 5                    3                    7                    
PERSONA              x22                  53                   3                    12                   
ENTREGA              <=                   39                   3                    16                   
l_COLACHO            '!'                  17                   3                    21                   
FINREGALO            |                    54                   3                    22                   
LOCALCOLOCARREGALO   local                52                   4                    1                    
COLACHO              char                 5                    4                    7                    
PERSONA              miChar               53                   4                    12                   
ENTREGA              <=                   39                   4                    18                   
l_COLACHO            '!'                  17                   4                    22                   
FINREGALO            |                    54                   4                    23                   
LOCALCOLOCARREGALO   local                52                   5                    1                    
COLACHO              char                 5                    5                    7                    
PERSONA              miChar2              53                   5                    12                   
ENTREGA              <=                   39                   5                    19                   
l_COLACHO            '!'                  17                   5                    23                   
FINREGALO            |                    54                   5                    24                   
LOCALCOLOCARREGALO   local                52                   6                    1                    
SANTA                string               4                    6                    7                    
PERSONA              str1                 53                   6                    14                   
ENTREGA              <=                   39                   6                    18                   
l_SANTA              "Hola $%&/#$&) mundo" 16                   6                    40                   
FINREGALO            |                    54                   6                    41                   
LOCALCOLOCARREGALO   local                52                   7                    1                    
NICOLAS              float                3                    7                    7                    
PERSONA              fl1                  53                   7                    13                   
FINREGALO            |                    54                   7                    16                   
LOCALCOLOCARREGALO   local                52                   8                    1                    
NICOLAS              float                3                    8                    7                    
PERSONA              fl1                  53                   8                    13                   
ENTREGA              <=                   39                   8                    16                   
l_NICOLAS            56.6                 14                   8                    18                   
FINREGALO            |                    54                   8                    22                   
LOCALCOLOCARREGALO   local                52                   9                    1                    
NOEL                 int                  2                    9                    7                    
PERSONA              in1                  53                   9                    11                   
ENTREGA              <=                   39                   9                    14                   
l_f_CLAUS            false                41                   9                    17                   
FINREGALO            |                    54                   9                    22                   
LOCALCOLOCARREGALO   local                52                   10                   1                    
COLACHO              char                 5                    10                   7                    
PERSONA              arr                  53                   10                   12                   
ABREEMPAQUE          [                    9                    10                   15                   
PERSONA              fl1                  53                   10                   16                   
CIERRAEMPAQUE        ]                    10                   10                   19                   
ENTREGA              <=                   39                   10                   21                   
ABREREGALO           {                    11                   10                   24                   
l_COLACHO            'c'                  17                   10                   27                   
CHIMENEA             ,                    13                   10                   28                   
l_COLACHO            'd'                  17                   10                   31                   
CIERRAREGALO         }                    12                   10                   32                   
FINREGALO            |                    54                   10                   33                   
PERSONA              arr                  53                   11                   1                    
ABREEMPAQUE          [                    9                    11                   4                    
PERSONA              fl1                  53                   11                   5                    
CIERRAEMPAQUE        ]                    10                   11                   8                    
ENTREGA              <=                   39                   11                   10                   
l_COLACHO            'c'                  17                   11                   15                   
FINREGALO            |                    54                   11                   16                   
LOCALCOLOCARREGALO   local                52                   12                   1                    
CLAUS                bool                 6                    12                   7                    
PERSONA              mibool               53                   12                   12                   
ENTREGA              <=                   39                   12                   19                   
l_t_CLAUS            true                 40                   12                   22                   
FINREGALO            |                    54                   12                   26                   
LOCALCOLOCARREGALO   local                52                   14                   1                    
NOEL                 int                  2                    14                   7                    
PERSONA              in1                  53                   14                   11                   
ENTREGA              <=                   39                   14                   14                   
GRINCH               --                   42                   14                   17                   
PERSONA              fl1                  53                   14                   19                   
CUPIDO               ~                    49                   14                   23                   
TRUENO               -                    45                   14                   25                   
l_NOEL               14                   15                   14                   26                   
JUGUETON             /                    47                   14                   28                   
QUIEN                ++                   43                   14                   29                   
PERSONA              in1                  53                   14                   31                   
RODOLFO              +                    44                   14                   34                   
l_NOEL               7                    15                   14                   35                   
TRUENO               -                    45                   14                   36                   
l_NOEL               15                   15                   14                   37                   
COMETA               **                   48                   14                   40                   
PERSONA              arr                  53                   14                   44                   
ABREEMPAQUE          [                    9                    14                   47                   
l_NOEL               67                   15                   14                   48                   
CIERRAEMPAQUE        ]                    10                   14                   50                   
RELAMPAGO            *                    46                   14                   52                   
PERSONA              func1                53                   14                   54                   
ABRECUENTO           (                    7                    14                   60                   
PERSONA              hola                 53                   14                   61                   
CHIMENEA             ,                    13                   14                   65                   
l_t_CLAUS            true                 40                   14                   67                   
CHIMENEA             ,                    13                   14                   71                   
l_SANTA              "hola mundo"         16                   14                   84                   
CHIMENEA             ,                    13                   14                   85                   
l_NICOLAS            4.5                  14                   14                   87                   
CHIMENEA             ,                    13                   14                   90                   
l_COLACHO            'a'                  17                   14                   94                   
CIERRACUENTO         )                    8                    14                   95                   
FINREGALO            |                    54                   14                   97                   
PERSONA              mibool               53                   15                   1                    
ENTREGA              <=                   39                   15                   8                    
ABRECUENTO           (                    7                    15                   11                   
l_NICOLAS            3.7                  14                   15                   12                   
RELAMPAGO            *                    46                   15                   16                   
PERSONA              fl1                  53                   15                   18                   
RODOLFO              +                    44                   15                   22                   
